friend,title,year,rating,tags
narmacil,Buntownik z wyboru,1997,7,['Dramat obyczajowy']
narmacil,La La Land,2016,8,"['Musical', 'Romans']"
narmacil,Moonlight,2016,8,['Dramat']
narmacil,Milczenie,2016,7,['Dramat historyczny']
narmacil,To tylko koniec œwiata,2016,8,['Dramat']
narmacil,Split,2016,3,['Thriller']
narmacil,Jackie,2016,5,"['Biograficzny', 'Dramat']"
narmacil,Amerykañska sielanka,2016,4,['Dramat']
narmacil,Toni Erdmann,2016,5,['Komedia']
narmacil,Powidoki,2016,6,"['Biograficzny', 'Dramat']"
narmacil,Manchester by the Sea,2016,9,['Dramat']
narmacil,Truposz,1995,7,"['Dramat', 'Western', 'Psychologiczny']"
narmacil,Paterson,2016,8,"['Dramat', 'Komedia']"
narmacil,A¿ do piek³a,2016,9,"['Dramat', 'Krymina³']"
narmacil,Fantastyczne zwierzêta i jak je znaleŸæ,2016,4,"['Familijny', 'Fantasy', 'Przygodowy']"
narmacil,Sully,2016,5,"['Biograficzny', 'Dramat']"
narmacil,Zwierzêta nocy,2016,7,['Thriller']
narmacil,£otr 1. Gwiezdne wojny - historie,2016,7,"['Przygodowy', 'Sci-Fi']"
narmacil,Weiner,2016,8,['Dokumentalny']
narmacil,Ghostbusters. Pogromcy duchów,2016,3,"['Komedia', 'Akcja', 'Sci-Fi']"
narmacil,45 lat,2015,8,['Dramat']
narmacil,Inferno,2016,8,['Dokumentalny']
narmacil,Nowy pocz¹tek,2016,7,"['Thriller', 'Sci-Fi']"
narmacil,S³u¿¹ca,2016,6,['Dramat']
narmacil,Doktor Strange,2016,6,"['Fantasy', 'Przygodowy']"
narmacil,Ostatnia rodzina,2016,8,['Biograficzny']
narmacil,"Ja, Daniel Blake",2016,8,['Dramat']
narmacil,Gosford Park,2001,8,"['Dramat', 'Krymina³']"
narmacil,Wo³yñ,2016,10,"['Dramat', 'Wojenny']"
narmacil,Ksiê¿niczka Mononoke,1997,8,"['Fantasy', 'Przygodowy', 'Anime']"
narmacil,Królestwo,2015,7,"['Dokumentalny', 'Familijny', 'Przyrodniczy']"
